Unnamed: 0,factoryId,lineId,machineId,parameter,value,timestamp,packetCount,recordTimestamp
230396,Granit,Glazur4,BRKDYZC,POut,-57,2025-07-02 00:00:27.364000+00:00,208334.0,2025-07-02 00:00:58.608000+00:00
230397,Granit,Glazur4,BRKDYZC,POut,-51,2025-07-02 00:03:31.387000+00:00,208377.0,2025-07-02 00:03:34.962000+00:00
230398,Granit,Glazur4,BRKDYZC,TAct,38.5,2025-07-02 00:03:31.387000+00:00,208377.0,2025-07-02 00:03:34.962000+00:00
230399,Granit,Glazur4,BRKDYZC,PIn,159,2025-07-02 00:04:31.049000+00:00,208391.0,2025-07-02 00:04:34.951000+00:00
230400,Granit,Glazur4,BRKDYZC,Status,4,2025-07-02 00:07:40.141000+00:00,208435.0,2025-07-02 00:07:43.879000+00:00
230401,Granit,Glazur4,BRKDYZC,PIn,151,2025-07-02 00:07:40.141000+00:00,208435.0,2025-07-02 00:07:43.879000+00:00
230402,Granit,Glazur4,BRKDYZC,POut,-49,2025-07-02 00:07:40.141000+00:00,208435.0,2025-07-02 00:07:43.879000+00:00
230403,Granit,Glazur4,BRKDYZC,TAct,38.4,2025-07-02 00:07:40.141000+00:00,208435.0,2025-07-02 00:07:43.879000+00:00
230404,Granit,Glazur4,BRKDYZC,Status,4,2025-07-02 00:08:13.147000+00:00,208442.0,2025-07-02 00:08:16.929000+00:00
230405,Granit,Glazur4,BRKDYZC,POut,-51,2025-07-02 00:09:14.059000+00:00,208456.0,2025-07-02 00:09:16.983000+00:00
230406,Granit,Glazur4,BRKDYZC,Status,4,2025-07-02 00:09:58.501000+00:00,208467.0,2025-07-02 00:10:01.916000+00:00
230407,Granit,Glazur4,BRKDYZC,Status,4,2025-07-02 00:11:32.418000+00:00,208489.0,2025-07-02 00:11:34.976000+00:00
230419,Granit,Glazur4,BRKDYZC,PIn,151,2025-07-02 00:00:05.790000+00:00,208329.0,2025-07-02 00:00:07.880000+00:00
230420,Granit,Glazur4,BRKDYZC,PIn,155,2025-07-02 00:00:12.122000+00:00,208330.0,2025-07-02 00:00:13.906000+00:00
230421,Granit,Glazur4,BRKDYZC,TAct,38.5,2025-07-02 00:00:12.122000+00:00,208330.0,2025-07-02 00:00:13.906000+00:00
230422,Granit,Glazur4,BRKDYZC,TAct,38.5,2025-07-02 00:00:19.752000+00:00,208332.0,2025-07-02 00:00:22.857000+00:00
230423,Granit,Glazur4,BRKDYZC,Status,4,2025-07-02 00:00:21.011000+00:00,208333.0,2025-07-02 00:00:22.936000+00:00
230424,Granit,Glazur4,BRKDYZC,LBarcode,GR4_2646607,2025-07-02 00:00:40.048000+00:00,208337.0,2025-07-02 00:00:59.445000+00:00
230425,Granit,Glazur4,BRKDYZC,TAct,38.5,2025-07-02 00:00:40.048000+00:00,208337.0,2025-07-02 00:00:59.445000+00:00
230426,Granit,Glazur4,BRKDYZC,Status,4,2025-07-02 00:01:49.867000+00:00,208353.0,2025-07-02 00:01:53.089000+00:00
230427,Granit,Glazur4,BRKDYZC,LBarcode,GR4_2646615,2025-07-02 00:01:49.867000+00:00,208353.0,2025-07-02 00:01:53.089000+00:00
230428,Granit,Glazur4,BRKDYZC,TAct,38.5,2025-07-02 00:01:49.867000+00:00,208353.0,2025-07-02 00:01:53.089000+00:00
230429,Granit,Glazur4,BRKDYZC,LBarcode,GR4_2646616,2025-07-02 00:01:57.482000+00:00,208355.0,2025-07-02 00:02:02.116000+00:00
230430,Granit,Glazur4,BRKDYZC,TAct,38.5,2025-07-02 00:01:57.482000+00:00,208355.0,2025-07-02 00:02:02.116000+00:00
230431,Granit,Glazur4,BRKDYZC,Status,4,2025-07-02 00:02:03.834000+00:00,208356.0,2025-07-02 00:02:07.863000+00:00
230432,Granit,Glazur4,BRKDYZC,TAct,38.5,2025-07-02 00:02:03.834000+00:00,208356.0,2025-07-02 00:02:07.863000+00:00
230433,Granit,Glazur4,BRKDYZC,POut,-58,2025-07-02 00:02:05.097000+00:00,208357.0,2025-07-02 00:02:07.949000+00:00
230434,Granit,Glazur4,BRKDYZC,PIn,154,2025-07-02 00:02:29.194000+00:00,208362.0,2025-07-02 00:02:31.835000+00:00
230435,Granit,Glazur4,BRKDYZC,POut,-51,2025-07-02 00:02:29.194000+00:00,208362.0,2025-07-02 00:02:31.835000+00:00
230436,Granit,Glazur4,BRKDYZC,Status,4,2025-07-02 00:02:30.466000+00:00,208363.0,2025-07-02 00:02:34.877000+00:00
230437,Granit,Glazur4,BRKDYZC,LBarcode,GR4_2646620,2025-07-02 00:02:30.466000+00:00,208363.0,2025-07-02 00:02:34.877000+00:00
230438,Granit,Glazur4,BRKDYZC,POut,-58,2025-07-02 00:02:49.519000+00:00,208367.0,2025-07-02 00:02:53.298000+00:00
230439,Granit,Glazur4,BRKDYZC,LBarcode,GR4_2646624,2025-07-02 00:03:06.014000+00:00,208371.0,2025-07-02 00:03:08.044000+00:00
